,Unnamed: 0.1,Unnamed: 0,Star_name,Distance,Mass,Radius,Gravity
128,128,128,2MASS J03341218-4953322,27.0,48479801.62679999,2.1257143128e+29,6.219709261922272e+40
129,129,129,LP 944-20,20.9,48479801.62679999,2.9228571801e+29,1.1759137823321796e+41
130,130,130,2MASP J0345432+254023,88.0,49143908.4984,2.1461538735e+29,6.254219857876462e+40
131,131,131,Teide 1,380.0,36525877.938,7.726153944599999e+29,1.0905540022723345e+42
132,132,132,2MASS J03510004-0052452,48.0,67738900.9032,2.5958242089e+29,6.637943261294758e+40
133,133,133,2MASS J03552337+1133437,29.8,13282137.432,2.6980220124e+29,3.657161443750258e+41
134,134,134,2MASS J04151954−0935066,18.6,19923206.148,1.9417582665e+29,1.2628513173341777e+41
135,135,135,2MASS J04285096-2253227 [de],85.0,53128549.728,2.2279121163e+29,6.23432264594766e+40
136,136,136,2MASS J04351612-1606574,34.0,66410687.16,2.5753846482e+29,6.664496680553159e+40
137,137,137,2MASS J04362788-4114465,142.0,25900167.9924,4.0265934579e+29,4.177285043632826e+41
138,138,138,2MASS J04390101-2353083 [de],29.5,31877129.8368,1.9826373879e+29,8.2286482304690345e+40
139,139,139,2MASS J04433764+0002040,82.0,14610351.1752,3.6382418046e+29,6.045658192659195e+41
140,140,140,2MASS J04455387-3048204 [de],42.0,42502839.782400005,2.04395607e+29,6.559130803328488e+40
141,141,141,2MASS J04510093-3402150 [de],69.0,690671.4804,1.4716483703999998e+31,2.0924626242713765e+46
142,142,142,2MASS J05002100+0330501 [de],44.0,42502839.782400005,2.04395607e+29,6.559130803328488e+40
143,143,143,2MASS J05012406-0010452 [de],64.0,13946244.303599998,2.8206593766e+29,3.8068445567569594e+41
144,144,144,2MASS J05160945-0445499 [de],73.0,31213022.9652,1.9826373879e+29,8.403725852393908e+40
145,145,145,2MASS J0523−1403,40.0,45159267.268800005,2.0643956307e+29,6.297382901153306e+40
146,146,146,SDSS J053951.99-005902.0,41.62,40510519.1676,2.0643956307e+29,7.020033398006967e+40
147,147,147,LSR 0602+3910 [de],34.6,18594992.4048,2.8819780587e+29,2.980618960022255e+41
148,148,148,2MASS J06085283-2753583,102.0,25236061.1208,3.0863736657e+29,2.5188166980495637e+41
149,149,149,2MASS J06244595-4521548 [de],39.0,37189984.8096,2.0235165093e+29,7.34697611467686e+40
150,150,150,2MASS J06411840-4322329 [de],65.0,44495160.3972,2.0643956307e+29,6.391373690722761e+40
151,151,151,DENIS-P J0652197-253450 [de],51.0,49808015.37,2.1461538735e+29,6.170830259771444e+40
152,152,152,2MASS J07075327-4900503,60.0,47815694.7552,2.1052747521e+29,6.18540610600106e+40
153,153,153,UGPS J072227.51-054031.2,13.4,17266778.661599997,2.0030769486e+29,1.550618885788721e+41
154,154,154,2MASSI J0727182+171001 [de],29.6,27228381.7356,1.9213187058e+29,9.04686513611091e+40
155,155,155,2MASS J07290002-3954043 [de],25.8,24571954.2492,1.9213187058e+29,1.0024904610285062e+41
156,156,156,SDSS J074201.41+205520.5 [de],49.0,28556595.4788,1.9213187058e+29,8.62608071117552e+40
157,157,157,DENIS-P J0751164-253043 [de],55.0,47151587.8836,2.1052747521e+29,6.272524501860229e+40
158,158,158,2MASS J07522390+1612157,60.0,1334854.8954,1.3898901276e+31,9.657128417986718e+45
159,159,159,DENIS J081730.0-615520,16.1,29220702.3504,1.9213187058e+29,8.430033422285169e+40
160,160,160,2MASS J08251968+2115521 [de],35.0,34533557.323199995,2.0030769486e+29,7.753094428943606e+40
161,161,161,SDSSp J083008.12+482847.4 [de],43.0,31877129.8368,2.0235165093e+29,8.571472133789669e+40
162,162,162,LHS 2021,55.0,58441404.7008,2.3505494805e+29,6.308691263565036e+40
